Ranking,Name,Team,PM,F.Com
1,Edgar Álvaro,Los Troncos FC,13,27
2,David Soriano,Los Troncos FC,13,16
3,Joan Poch,xBuyer Team,12,14
4,Carlos Torrentbó,Kunisports,12,13
4,Román Alegre,1K FC,10,13
6,Víctor Torres,Saiyans FC,13,12
6,Álvaro Arché,Ultimate Móstoles,12,12
6,Juanma González,Ultimate Móstoles,12,12
9,Noel López,Los Troncos FC,11,11
9,Iñaki Villalba,xBuyer Team,12,11
11,Raúl Lao,Porcinos FC,12,10
11,Lluís Alsina,Jijantes FC,9,10
11,Carlos Val,PIO FC,10,10
11,Miki Fernández,Kunisports,12,10
11,Alberto Bueno,1K FC,10,10
16,Kilian Honorato,Porcinos FC,12,9
16,Pau Mañé,Aniquiladores FC,10,9
16,Pablo Beguer,El Barrio,13,9
16,Daniel Santiago,xBuyer Team,12,9
16,Flavio Ruggeri,Kunisports,12,9
16,Javi Espinosa,Porcinos FC,12,9
16,Alberto Lopo,PIO FC,10,9
23,Gabriel Cichero,Porcinos FC,12,8
23,Temo Korkotashvili,Saiyans FC,13,8
23,Feliu Torrus,Saiyans FC,13,8
23,Jacobo Liencres,El Barrio,13,8
23,Jordi Ros,El Barrio,13,8
23,Pau 'ZZ' Ruiz,El Barrio,13,8
23,Mario Reyes,Rayo de Barcelona,10,8
23,Daniel Pérez,Rayo de Barcelona,10,8
23,Aleix Lage,Ultimate Móstoles,12,8
23,Ferran Corominas,Kunisports,12,8
23,Fran Hernández,Aniquiladores FC,13,8
34,Gio Ferinu,Saiyans FC,11,7
34,Aarón Ropero,PIO FC,10,7
34,Ian González,Ultimate Móstoles,12,7
34,Mark Sorroche,1K FC,10,7
34,Nadir Louah,Aniquiladores FC,9,7
34,Martín Mantovani,El Barrio,7,7
34,Román Golobart,Jijantes FC,5,7
41,Roger Carbó,Saiyans FC,13,6
41,Gilles Vidal,Aniquiladores FC,14,6
41,Joan Verdú,Los Troncos FC,11,6
41,Iván López 'Cokita',PIO FC,10,6
41,Marc Pelaz,Rayo de Barcelona,10,6
41,Guillem 'ZZ' Ruiz,Rayo de Barcelona,10,6
41,Llur Genesca,Ultimate Móstoles,10,6
41,Marino Gómez,1K FC,10,6
41,Ruben G. Tremiño,1K FC,10,6
50,Álex Campuzano,Saiyans FC,12,5
50,Marc Galvany,Aniquiladores FC,12,5
50,Raúl Dorado,Jijantes FC,11,5
50,Dorkis Pérez,Los Troncos FC,13,5
50,Iván Nuevo,Los Troncos FC,9,5
50,Franky Purtí,Rayo de Barcelona,10,5
50,Àlex Gutiérrez,Ultimate Móstoles,10,5
50,Joel Bañuls,xBuyer Team,12,5
50,Carlos Castro,xBuyer Team,12,5
50,Marcos Guerrero,Kunisports,11,5
50,Lluc Riera,Kunisports,9,5
50,Uri Pons,Porcinos FC,8,5
50,Víctor Molina,Los Troncos FC,6,5
63,David López,Porcinos FC,10,4
63,Jadir Cirera,Aniquiladores FC,6,4
63,Cristian Ubón,El Barrio,13,4
63,Oriol Boada,El Barrio,11,4
63,Joel Macarulla,Jijantes FC,11,4
63,Jonathan Soriano,Jijantes FC,7,4
63,Bernat Juárez,PIO FC,5,4
63,Alejo García,Rayo de Barcelona,9,4
63,Iker López,Ultimate Móstoles,11,4
63,Benjamín Sierra,xBuyer Team,12,4
63,Raúl Ledo,1K FC,10,4
63,Oscar Rivero,1K FC,10,4
63,Dídac Vilà,Rayo de Barcelona,8,4
63,Carlitos González,Porcinos FC,4,4
63,Carlos Corvo,PIO FC,6,4
63,Iván Pérez,Jijantes FC,5,4
79,Joselete Blanco,Porcinos FC,12,3
79,Joan Capdevila,Saiyans FC,7,3
79,Xavi Garcia,Aniquiladores FC,13,3
79,Aleix Massegú,El Barrio,8,3
79,Xavi Olaechea,El Barrio,10,3
79,Jay Mengeli,Jijantes FC,7,3
79,Juan Quero,Jijantes FC,9,3
79,Arnau Martínez,Jijantes FC,10,3
79,Sergio Sánchez,Los Troncos FC,4,3
79,Raúl Martínez,Los Troncos FC,10,3
79,Carles Planas,Los Troncos FC,10,3
79,Pau Fernández,PIO FC,10,3
79,Adrián Biboum,Rayo de Barcelona,10,3
79,Lucca Ribeiro,Ultimate Móstoles,8,3
79,Marc Granero,xBuyer Team,12,3
79,Goran Ehsan,xBuyer Team,10,3
79,Joan Inés,Kunisports,10,3
79,Victor Hidalgo,Kunisports,11,3
79,Sergi Sauras,1K FC,9,3
79,Bruno Gumà,1K FC,10,3
79,Marc Pluvins,1K FC,10,3
79,Sergio García,Ultimate Móstoles,6,3
79,Pol Almellones,Saiyans FC,8,3
79,Nico Pareja,El Barrio,5,3
79,Adrià de Mesa,Ultimate Móstoles,2,3
104,Cristian Valle,Saiyans FC,11,2
104,Andrés Serrano,Aniquiladores FC,6,2
104,Bernat Rovira,Aniquiladores FC,14,2
104,Roger Bonet,Aniquiladores FC,13,2
104,Noel Bayarri,Jijantes FC,7,2
104,Xavi Molas,Los Troncos FC,13,2
104,Jonathan A. Jiménez,Rayo de Barcelona,7,2
104,Alex 'Race' Ramírez,Rayo de Barcelona,10,2
104,Pol Marcó 'Poloteli',Rayo de Barcelona,7,2
104,Steven Rodríguez,Ultimate Móstoles,5,2
104,Franc Cortés,xBuyer Team,7,2
104,Ibai Gómez,Jijantes FC,6,2
104,Rubén de la Red,Ultimate Móstoles,3,2
104,Hugo Fraile,Porcinos FC,10,2
104,Pitu Comadevall,Jijantes FC,1,2
104,Ismael Cabello,PIO FC,4,2
104,David López,Saiyans FC,3,2
121,José Segovia,Porcinos FC,12,1
121,Aleix Ripol,Porcinos FC,4,1
121,Marc Briones,Saiyans FC,12,1
121,Victor Baranera,El Barrio,9,1
121,Pol Zapata,Jijantes FC,10,1
121,Víctor Cócera,Kunisports,11,1
121,Lautaro Nicolas,1K FC,9,1
121,Javi Chica,Kunisports,4,1
121,Javi Márquez,PIO FC,3,1
121,Cristian Saldaña,Saiyans FC,4,1
121,Fran Álvarez,Los Troncos FC,2,1
121,Joel Huertas,Jijantes FC,2,1
121,Antonio Barragán,Jijantes FC,1,1
121,David García,PIO FC,4,1
121,Walter Erviti,Aniquiladores FC,3,1
121,Augusto Fernández,Kunisports,1,1
121,Walter Montillo,Kunisports,1,1
121,Ronaldinho,Porcinos FC,1,1
121,Ezequiel Calvente,Aniquiladores FC,1,1
121,Fernandão,Saiyans FC,3,1
