Ranking,Name,Team,Pl,G.En,Ratio
1,Gerard Vacas,El Barrio,0,23,3.29
2,Manuel Martín,Los Troncos FC,8,18,2.25
2,Pol Zapata,Aniquiladores FC,8,18,2.25
4,Dani Pérez,Saiyans FC,0,15,2.50
5,Adrià 'Capi' Gutiérrez,xBuyer Team,0,14,2.80
5,Alex García,PIO FC,0,14,4.67
7,Alberto Arnalot,1K FC,0,12,2.40
8,Mario León,Jijantes FC,0,11,3.67
8,Jorge Ibáñez,PIO FC,0,11,2.75
10,Marc Briones,Porcinos FC,0,10,2.00
10,Víctor Vidal,Ultimate Móstoles,0,10,1.43
10,Pol Lechuga,Rayo de Barcelona,0,10,3.33
13,Sergi Aguilar,Kunisports,0,9,3.00
14,Nacho Berché,Rayo de Barcelona,0,8,2.67
15,José Segovia,Jijantes FC,0,7,2.33
15,Josep Corderas,Los Troncos FC,0,7,3.50
15,Eloy Amoedo,Porcinos FC,0,7,3.50
18,Víctor Cócera,Kunisports,0,5,1.67
20,Javi Verger,1K FC,0,3,3.00
